"TABLE_NAME","INDEX_NAME","NON_UNIQUE","SEQ_IN_INDEX","COLUMN_NAME","COLLATION","CARDINALITY","SUB_PART","NULLABLE","INDEX_TYPE"
"registrasi_token","PRIMARY","0","1","id","A","16",NULL,,"BTREE"
"registrasi_token","registrasi_token_token_unique","0","1","token","A","16",NULL,,"BTREE"
"registrasi_token","registrasi_token_user_id_foreign","1","1","user_id","A","16",NULL,,"BTREE"
"riwayat_tabungan","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"sessions","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"sessions","sessions_last_activity_index","1","1","last_activity","A","0",NULL,,"BTREE"
"sessions","sessions_user_id_index","1","1","user_id","A","0",NULL,"YES","BTREE"
"slip_gaji","PRIMARY","0","1","id","A","16",NULL,,"BTREE"
"slip_gaji","slip_unik","0","1","user_id","A","16",NULL,,"BTREE"
"slip_gaji","slip_unik","0","2","periode","A","16",NULL,,"BTREE"
"slip_gaji","slip_unik","0","3","bulan","A","16",NULL,,"BTREE"
"slip_gaji","slip_unik","0","4","tahun","A","16",NULL,,"BTREE"
"sp_karyawan","fk_sp_konfirmasi","1","1","dikonfirmasi_oleh","A","0",NULL,"YES","BTREE"
"sp_karyawan","idx_sp_user","1","1","user_id","A","0",NULL,,"BTREE"
"sp_karyawan","idx_sp_user","1","2","status","A","0",NULL,"YES","BTREE"
"sp_karyawan","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"tabungan_karyawan","PRIMARY","0","1","id","A","6",NULL,,"BTREE"
"tabungan_karyawan","user_id","0","1","user_id","A","6",NULL,,"BTREE"
"tugas_assignee","PRIMARY","0","1","id","A","7",NULL,,"BTREE"
"tugas_assignee","tugas_assignee_status_index","1","1","status","A","7",NULL,,"BTREE"
"tugas_assignee","tugas_assignee_tugas_user_unique","0","1","tugas_id","A","7",NULL,,"BTREE"
"tugas_assignee","tugas_assignee_tugas_user_unique","0","2","user_id","A","7",NULL,,"BTREE"
"tugas_assignee","tugas_assignee_user_id_foreign","1","1","user_id","A","7",NULL,,"BTREE"
"tugas_harian","PRIMARY","0","1","id","A","2",NULL,,"BTREE"
"tugas_harian","tugas_harian_dibuat_oleh_foreign","1","1","dibuat_oleh","A","2",NULL,,"BTREE"
"tugas_harian","tugas_harian_tanggal_index","1","1","tanggal","A","2",NULL,,"BTREE"
"tunjangan_master","PRIMARY","0","1","id","A","5",NULL,,"BTREE"
"ujian_jawaban","fk_jawaban_soal","1","1","soal_id","A","20",NULL,,"BTREE"
"ujian_jawaban","PRIMARY","0","1","id","A","20",NULL,,"BTREE"
"ujian_jawaban","unique_jawaban","0","1","sesi_id","A","2",NULL,,"BTREE"
"ujian_jawaban","unique_jawaban","0","2","soal_id","A","20",NULL,,"BTREE"
"ujian_sesi","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"ujian_sesi","unique_sesi","0","1","user_id","A","0",NULL,,"BTREE"
"ujian_sesi","unique_sesi","0","2","periode","A","0",NULL,,"BTREE"
"ujian_sesi","unique_sesi","0","3","tahun","A","0",NULL,,"BTREE"
"ujian_soal","fk_soal_pembuat","1","1","dibuat_oleh","A","2",NULL,,"BTREE"
"ujian_soal","idx_soal_jabatan","1","1","jabatan_level","A","10",NULL,,"BTREE"
"ujian_soal","idx_soal_jabatan","1","2","is_aktif","A","10",NULL,"YES","BTREE"
"ujian_soal","PRIMARY","0","1","id","A","100",NULL,,"BTREE"
"users","PRIMARY","0","1","id","A","18",NULL,,"BTREE"
"users","users_email_unique","0","1","email","A","18",NULL,,"BTREE"
